Attraction	Review Title	Review	Annotation
Newtown	Eclectic smorgasboard of shops, bars, pubs & eateries	From Vintage furniture and clothing to obscure curio shops, Newtown was a revelation to me after living in Neutral Bay! I finally found what I was looking for. A buzzy eclectic mix of independent shops, bars, pubs and a crazy mix of international cuisine. Not to be missed as part of the whole Sydney experience.	Social
St. Mary's Cathedral	Exquisite!	It's such a large cathedral, yet inside is just exquisite. It's so tranquil amidst the hustle and bustle of the city! The architecture is just breath-taking, very sacred. I would recommend to drop-in if you have the time and are in the area.	Cultural
St. Mary's Cathedral	Peaceful	City is always buzzing with so much people and aactivities that one would think that there is no place for peace and quiet. Come to St. Mary's Cathedral in Sydney. Externally you are awed with its magnificent Architectures, which is mostly of Gothic arts. As you see the church building from each base then looking upward to the highest point of the tower and spires one is somehow engaged into prayer and connected to the power that beyond human can emagine. Just that feeling of awe and wonder that will lead oneself to discover for more thus your feet is leading you to go inside the church maybe because of curiosity or appreciation of arts or maybe one feels the urge to pray in silence. Wither ways, being in the the church one would feel the presence of holiness and peacefulness of the holy ground. Thus to sit or kneel in prayer being in touched with your being and with God. The inside of the church is surounded with the stained glasses that will tell you about your faith and also the history of the church in Australia. The domes and the architectures of the church is blending so much to your hearts longing to be connected to God. The church is a place of quiet and solace for everyone other that art appreciation ... Plus if you happen to be in the church worship then most likely you hear the singing of boys' choir voices like angels and the men's choir whose voices as so solid and precise. The singing of the choir will uplift your heart and put you more to prayer.	Lazy
St. Mary's Cathedral	A few moments of Peace!	St Mary's is an oasis in the heart of a crazy city. The old sandstone arcchitecture creates the most wonder acoustics so if there is a performance of sacred musicthen that would be a absolute must do!	Luxurious
St. Mary's Cathedral	St Mary's Cathedral	This church is absolutely stunning and well worth the visit, The architecture of the building is just beautiful and the history that comes with the church is worth following up.	Cultural
St. Mary's Cathedral	Worth stopping by	Beautifil architecture, lovingly cared for inside and out. Stained glass windows are amazing. Great place for quiet reflection.	Cultural
Bondi Beach	great atmosphere	Was expecting bondi to feel overrated but there was a great atmopshere when I did the walk between bondi and bronte. The sand is super fine, and plenty of surfers to keep you entertained! I did visit in august so it wasnt very busy but I would recommend a visit.	Social
Bondi Beach	see sea and surf	Fine, white sand beach... vast parking space... one of the popular beaches among all other fantastic, must-visit waters in Sydney. Perfect place to walk or jog and move from Bondi to another beach in a 1-hr stroll. Vast seashore seems to never get crowded even when plenty locales and tourists flock the area during ordinary days.	Adventurous
Bondi Beach	Must see  	Everyone is talking about it, lots of stories told. I think its worth the trip. its a long stretch of sandy beach, followed by some grass to hang out and restaurants across the street. The sand beach is rather wide and full of surfers during summer. We ate at the famous Hurrican Ribs BBQ restaurant which was really tasty, reservation required... Theres a beach restaurant, which is ok for a drink or sandwich, a bit pricey though. You can find plenty of surfers gear shop, souvenir shops and many more. From Sydney city center it takes you arond 20-30 minutes by bus.	Lazy
Bondi Beach	Very beautiful	Bondi Beach is very beautiful. We visited in August so it was a bit cold, but we actually went for a swim and it was great! Locals say they go swimming all year long, so we decided to give it a go as well. It's a great family location, very friendly and relaxing. Many nice cafes around the beach, so lot'f of food to chose from. Definitely worth going there if ever in Sydney! If you do go there, make sure you walk all the way around it, because there are some nice views from the rocks, we took great photographs.	Lazy
Bondi Beach	Beautiful	I loved this place, it was winter, cold and wet but I loved it. the surfers, the sand and the waves were amazing. I would not miss it if in Sydney again	Natural
State Library of NSW	A life interrupted exhibition	Apart from the grandeur and splendour of the library itself, this exhibition of WW1 using diary excerpts is hauntingly memorable and well worth going to see. From the minutiae of every day conversations, to the horrors experienced, all from the large collection of diaries, it is a fascinating and poignant reminder of interrupted lives. The copies if the newspapers are great to read including the adverts, they lighten the mood. If you have a spare hour, this exhibition is most certainly worthwhile.	Historical
State Library of NSW	Great free exhibitions & an historic library building...	The State Library is one of my favourite haunts when I need an art fix; holding numerous and varied temporary art exhibitions. The space is inviting and open; and it's compact size means I never feel overwhelmed. Perhaps most appealing is that I don't recall ever having to pay to view any of the exhibitions; meaning it's accessible to everyone and gives everyone the chance to experience art. If you're interested in architecture - the Mitchell Library building next door to the newer space is stunning with high vaulted ceilings, marble staircases and soaring sandstone columns. Check online for current and upcoming exhibitions & put the Library on your to-do list!	Cultural
State Library of NSW	Unexpected find	If you stuck for things to do indoors, this is a great place to spend a few hours as the library is nothing like the one I have ever been to. It has a free gallery upstairs with interesting history and art exhibition. During our visit, I really like the Kings Cross photographic exhibition which they have an app to guide you through the exhibits. The building is huge, plenty of places to sit and they also have a cafe indoors and free wifi throughout the building. Highly recommended.	Historical
State Library of NSW	A hidden delight	The inside of this building is really stunning, well worth visiting just to see the main reading room. They have interesting exhibits in the Mitchell wing of the library, on the top floor. All sorts of items on display, including some paintings of Sydney, a convict cap and ticket of leave, down to an illuminated manuscript and a seal of King Henry IV. Free admission.	Cultural
State Library of NSW	Like this	Steeped in history and with an ever changing gallery, the library is a great place to go to experience some local flavor. The map on the floor of the entry way is a glimpse into the past and the ways that map-making has advanced in the last two centuries. The main library room is absolutely breath taking, especially if you actually manage to make it inside. This is definitely a must see if you're trying to experience Sydney's history. For the great price of free, this is an excellent place to do research, read up to date periodicals or even to rest your feet after the daily grind. This library has everything you'd need to get your work or school research done!	Historical
Hyde Park	Beautiful library	This is a classic old school state library with a sweeping staircase, lots of old timber and old world charm. I was there for a meeting so only got to wander in briefly, but it looked beautiful and I noted a number of interesting exhibitions as well - all free entry. Friendly, helpful staff and a cafe below that seemed pretty popular. I'd like to get back to check it out when I'm not working.	Historical
Hyde Park	Not just a library	Decided to take the free guided tour out of curiosity. Libraries are usually quiet places this bucks the trend it encourages technology and has a floor dedicated to the use of laptops with free wi- fi and plenty of power outlets. The library consists of two parts old and new. The marble in the old section is all Australian and the wood carving intricate. The guide was extremely knowledgeable, enthusiastic and proud of this lovely building and all the treasures it holds. Also has exhibitions which are changed on a regular basis. Worth a visit.	Historical
Hyde Park	Must do for locals and tourists alike	Visited with kids (9-11 yo). This place is fantastic ! Free quided tours daily at 10.30 am, which was most informative and visually impressive. Great collection of books, rich history , wonderful overall atmosphere. The tour was great for adults , a little too complex for younger kids. There are computers with free wifi at the coffee shop. The current exhibition on Sydney's homeless in the foyer,so beautifully done!	Historical
Hyde Park	Wander at will and its free	This place deserves a look. On offer... Peace and quiet, welcoming staff, archival items on display in the Mitchell wing, in our case some wonderful pieces from The First Fleet and English settlement, an informative video detailing the hows and whys of collecting and what's done to preserve items, books galore, a lovely interior and a slice of Australian history.	Historical
Hyde Park	We were very pleasantly surprised	We only stopped in because we were walking by and we were very glad we did. The facilities are very impressive. There is a guided tour of the building daily at 10:30. They currently have an exhibition called "the greatest wonder of the world" about the gold rush and the miners, which included many old photos and they had a guided tour of the exhibit. Unfortunately, it will be closing soon. The guide and the people were very friendly.	Historical
The Strand Arcade	Go there for the architecture, not the shops!	I have to say that I love this little historical arcade. There are so few really old buildings left in Sydney, and this is a little ge. I have to say, however that I would never waste my time even looking in the shops there, they're overpriced and very ordinary. So, if you're in the city & would like to see a very cute & detailed old arcade, then go for sure. But if you're shopping, there are so many better places to go. If you really want to appreciate the architecture then take one of the cute little old lifts up for a better view of the interior of the building (and you can wonder at how expensive the shops are for the very ordinary products they offer whilst you're there), then walk down one of the old stair wells and appreciate the old, original tiling.	Historical
The Strand Arcade	Step back in time to 1981	I recently took a trip down memory as I walked through Sydney. On a whim I decided to visit the Strand Arcade which I hadn't visited in years. I had forgotten the beautiful architecture and variety of shops and cafes. Great atmosphere and great for window shopping. Step back in time to 1891 and experience old world charm in Sydney.	Historical
The Strand Arcade	Fashion central	Lovely old arcade beautifully restored. Great for fashion, but especially for jewels! Rox on the ground floor has innovative, interesting pieces, but do make sure you go to the top floor and leave lots of browsing time. Zappacosta does great coloured stones in lots of designs and will modify to your taste. There's also some great opal designs in some of the ground floor shops, a nice contrast to the rather dull tourist standards. Great for an big Italian lunch too, or a coffee hit.	Luxurious
The Strand Arcade	Gorgeous Example of Victorian Architecture	The Strand Arcade is almost 115 years old and still remains in its original form despite becoming run down and needing restoration work in the 1970s. it even survived a fire. Many designer labels have shops here, so you need deep pockets and likely to be out of reach of the majority. However the window displays fit in with the general luxurious ambiance of the entire building. Quite a decadent experience	Historical
The Strand Arcade	Elegant old building 	The best thing about this arcade is the actual building itself - it has such a timeless feel to it. This arcade is conveniently located off George St and onto Pitt St Mall. I've never actually bought anything here, but it is a lovely place to walk through and browse.	Historical
Madame Tussuads Sydney	Great day out for kids 	Figures are very real and life like, you expect them to actually move. Great for kids as it is very interactive, children can dress up and are allowed on props for photos etc. Lots of information regarding each person, a little overpriced though.	Fun
Madame Tussuads Sydney	Fun attraction	With 3 boys in tow, this was sooooo much fun. Really loved our visit. The boys got were playfully dramatic and surprised me with their enthusiasm to dress up and role play. Enjoyed this immensely.	Fun
Madame Tussuads Sydney	Best place to meet all your favourite celebrity	This is the place to go to,to meet all your favorite celebrities and people who have made outstanding contributions to the world. Loved getting pictures with the celebrities. It f you can try and avoid the weekend. It gets too crowded may be because its very popular. If they do not have someone you wanted to see you can tell them on a survey that you can fill it electronically before exiting. Overall had a fun time and the kids loved it.	Fun
Madame Tussuads Sydney	Great Experience	This is the first time that I visit and it was fun and interesting. A lot of famous celebrity statues and it was great to take a lot of funny photos. It a must to visit this attraction if you are in Sydney. It nearby to Darling Harbour and you can don't forget to bring along your camera.	Fun
Madame Tussuads Sydney	Hilarious fun	I went here with my teenage daughter. I booked online which was a reasonable price. We had such a great time! We took loads of photos with the models - so glad that u can get so close to them. They are amazingly life like. Be prepared to get involved - put on the costumes, get into it and get some funny photos.	Fun
IMAX Theatre Sydney	Huge screen	It's the world's biggest movie screen, what's more to say? Prices are not on the cheap side, but are well worth the experience. Amazing picture and even greater sound makes for a unique 3D experience. On top of that, there's a wide selection of bars and restaurants all around Darling Harbour.	Luxurious
IMAX Theatre Sydney	Great fun	Loved the IMAX film so much booked another straight away! Absolutely wonderful and great fun! An absolute must - children would love it! Staff helpful and efficient - theater spacious and open. An all round brilliant afternoon - and a fabulous setting when you come out, surrounded by wonderful restaurants!	Fun
IMAX Theatre Sydney	Fantastic Experience - World Largest' Screen	A little bit more pricey than the normal cinema but where else are you going to get the chance to experience the worlds largest cinema screen - and what an experience it was - just make sure you choose a decent film!! They give you the best seats available, we only watched a normal film but im sure one of the 3D films would be even better! Screenings are limited though so make sure you research times and films in advance!	Luxurious
IMAX Theatre Sydney	Worth the money	Cost a lot of money but the screen is the biggest in the world and really is the best cinema I've ever experienced. I saw gravity and it appeared incredibly realistic. Well worth the money	Luxurious
IMAX Theatre Sydney	Great 3D!	Very cool. Big cinema screen and awesome fun. The Imax theatre is located at Darling Harbor which is a great place to hangout. The tickets are a bit expensive but in return you get a quality entertainment (On your birthday, you can get a free ticket, save you about 30 dollars). Even if you are not really into watching movies at the cinema it is worth to know the biggest Imax theatre in the world. Besides, the popcorn is very good.	Fun
Observatory Hill	A beautiful place to watch sunset 	It's a really peaceful park with lovely views across the water to the Harbour Bridge and over to North Sydney (including Luna Park). A favourite spot for wedding photos on a Saturday afternoon. Really stunning at sunset.	Lazy
Observatory Hill	Wonderful views of the city plus a cafe and gallery	Our local friends took us up here for a look at the gorgeous city of Sydney. We didn't visit the Observatory, but the cafe next to the art gallery was very nice. Not cheap, but delicious food in a pleasant setting. A wedding had been held on the grounds an hour before, and you could understand why. Lovely trees and benches here and all over the city.	Lazy
Observatory Hill	Bring a picnic!	This place is easy to walk to if you're staying in the city. The views of the harbour and the Bridge offer a different perspective and are great for photos. Bring a picnic and a rug. Sit and relax!	Lazy
Observatory Hill	Wedded Bliss	It is a lovely site for a wedding and has great views of the bridge, the harbour and around Sydney. Lovely on a fine day.	Lazy
Observatory Hill	Spectacular; historic	You get a feeling of what it may have been like for the first settlement to be looking out from here for a boat with supplies to come into view but better information on the history of the place would make it a better experience, the local area during the day has amazing views.	Historical
Sydney Tower EYE	Well worth it!	The views from the top are well worth any apprehension at walking so high above the city. The staff were great and helped quell our older boy's initial fear. The overalls were particularly attractive!! Definitely worth the money and any trepidation.	Adventurous
Sydney Tower EYE	Worth the extra money	Good experience, worth the upgrade. Even if you are a bit iffy about heights you should like it. You are secured at all times so it is quite safe.	Adventurous
Sydney Tower EYE	Fantastic experience  	Visited the Sydney Tower Eye 2 years ago now and had a buffet lunch in the rotating restaurant. Food was fantastic, beautiful views and overall a brilliant experience!	Hungry
Sydney Tower EYE	Great views	We went up the tower just before sunset. So we were able to see the city whilst still light, and as it darkened. It's absolutely stunning at night time. Definitely the best time to go to get maximum beauty of the city.	Fun
Sydney Tower EYE	Exhilarating and breathtaking 	The Sydney Tower Eye Tour was awesome. We started by strolling around the Observation Deck taking you through a panoramic view of Sydney and learning about the city through the multilingual interactive touchscreens. We did the Skywalk which was awesome because it took us to more than 260metres above ground, looking directly down the city streets through a platform with a glass floor. We felt very secure though because we were suited up and harnessed throughout the tour. What an adventure! Then we watched the 4D cinema show which was so cool, I hear it's a first of a few in Australia. This sight and your is something you shouldn't miss when in Sydney.	Adventurous
Customs House	Grand building worth venturing into	Customs House is one of the city`s oldest and loveliest buildings with a great open square in front of it where you can indulge in a drink or coffee, or even a meal and watch the passing parade, especially as it is located right at Circular Quay (a very busy transport area for buses, trains and, of course, ferries. Inside the building is equally impressive and it has an interesting model display of Sydney under glass of the ground floor. There are lovely sitting areas for reading or for using free WI-Fi, as one the city`s main libraries is located within the building. There are often interesting, free exhibitions. On the rooftop there is an a la carte restaurant Cafe Sydney (yet to eat here) with stunning views of the harbour.	Lazy
Customs House	A gem	Discovered the place by accident. It's not well signposted as a place to visit but the building itself draws you to it. Loved all the information provided within.	Education
Customs House	A lovely building and a glimpse into history	The massive Customs House is a real insight into Australia’s history. A magnificent and impressive building, the location is perfect, being right behind Circular Quay. There is a great open courtyard out the front, and the building has lovely columns and decorations. The stonework is magnificent. Customs House is open for business, so you can take a look inside. A perfect, and somewhat quieter attraction, to combine with Circular Quay. Excellent.	Historical
Customs House	One of Sydney's grand old buildings	A beautiful grand old building at the entrance to Sydney. Great sense of Sydney's past and you can be thankful that Sydney isn't only a collection of modern glass towers. It is more than a building though - great sunken map and the collection of the world's newspapers is a highlight by itself.	Historical
Customs House	Customs House	Can't remember too much about my visit there but it is a part of Sydney's culture and is visited quite frequently.	Cultural
Powerhouse Museum	Wonderful museum with lots to see and do	The PowerHouse Museum is Australia's premiere scientific, technological and industrial design museum conveniently located in Ultimo, nearby to Darling Harbour. The museum has a great collection of early technology from Steam Engines right through to modern displays on environmental sustainability and Space. My kids really enjoyed the great array of experiments where they were able to learn about everything from conduction of energy, through to how to make fireworks and the use of nuclear medicine. A must for anyone visiting Sydney that is very reasonably priced.	Education
Powerhouse Museum	Powerhouse Museum Sydney	I have visited the powerhouse museum on several occasions and loved it. Have taken the grandchildren and spent hours there. It is such an educational place with lots of both old and new inventions and hands on experiences. Being an older person, it takes you back to things of the past like radio, television how we used to travel, clothes, even food. It is a must see museum. Loved it.	Education
Powerhouse Museum	Fun and engaging	Though it is primarily a science museum, it has a good Australia-centric leaning for tourists who want to enjoy science but also have a cultural experience. On our visit, we learned about The Beatles' Australia tour (not science-y but very culturally interesting), solar power in Australia, Australian engineering innovations, and multiple different musical instruments. We also got to draw designed clothes at a coloring station and play with various types of light shows and games in their lights exhibit.	Education
Powerhouse Museum	Power to the museum	You can learn so much at this museum - it's modern and historical and has excellent exhibitions. Saw Diana's dresses here last time we visited.	Education
Powerhouse Museum	Something for everyone	It is so easy to enjoy a museum when it is a bit hands on. This museum has some very interesting permanent exhibitions and regular has special exhibitions that add interest and fun.	Fun
Sydney Observatory	Southern Sky	Always great view, day and night. (of course the weather should be good..) I experienced night tour and luckly I could see the sky with the telescope! It was a little bit cloudy but it was okay to see the sky. It was a greate experience since I live on northern hemisphere and probably it's gonna be hard to see southern sky again. Worth 18 bucks! Great view, interesting 3D movies and explanation, enthusiastic tour guests.	Education
Sydney Observatory	A brilliant night	Did the night star star gazing tour with my girlfriend and we had a great night! The tour guide was fantastic, very enthusiastic and knowledgeable. I'm not big into star gazing and this was a great introduction and brilliant value. The 3d mini film was great, and the observatory telescope was really interesting, I would 100% recommend this, great value, something different and a chilled out night!	Education
Sydney Observatory	Love history	I loved the historical archive of this science that the museum displays. gives one a look back in time and a measuring stick by which we can see how far we have come.	Historical
Sydney Observatory	Astronomical night out	The night tour was both informative and interesting, seeing Saturn, Alpha Centori and the moon close up. We were lucky to have Geoff, who was a natural orator and full of interesting facts. The 3D show at the end capped off an astronomical night out with the family. Highly recommend this to anyone who's wanted to spend a night out wanting to stimulate rather than kill a few brain cells.	Education
Sydney Observatory	This was magical	Everything you ever wanted to know about telescopes and the transit of Venus. And probably more. Really cool experience!!	Education
Sea Life Sydney Aquarium	Amazing	This was a FANTASTIC place to visit! So much work and detail has been put into the displays. It's easy to navigate your way through. And the actual sea life is beautiful, unique and so interesting. The shark tunnel in particular was fabulous! I brought my 15 month old and she had a ball! I've heard it can be busy, but on a Fri morning (work day) it was fine.	Fun
Sea Life Sydney Aquarium	Amazing Discovery	Located in the heart of Sydney at Darling Harbour. The breathtaking and the highlight of the experience is walking through the glass tunnels, and you'll encounter some of the world's most incredible animals unique to each habitat. Including two of only five DUGONGS on display anywhere in the world. You will see sharks, massive stingrays, and thousands of tropical fish. This public aquarium, houses the worlds largest collection of all Australian aquatic life, in a unique freshwater and marine aquatic environment. Very easy to get here, and after this experience, you can just walk around the Darling Harbour and enjoy the spectacular views, lots and lots of restaurants, shopping and this is one of the pride and joy of Sydney. Sydney has a lot to offer, that no where else around the world has.	Fun
Sea Life Sydney Aquarium	Great Visit	Really enjoyed our visit to the aquarium, the tunnel was amazing and the sea life is impressive. Had a great time.	Fun
Sea Life Sydney Aquarium	Best aquarium i have been to	I love that the best aquarium is in my home city. The aquarium boasts sea life from all around the world but also entails that of Australia's. I have seen some decent aquariums in Australia and USA but this still ranks as the best. Go check it out with the family.	Fun
Sea Life Sydney Aquarium	One to see	Sydney Aquarium is a must see attraction for Sydney residents and visitors. I have been there few times and every time the displays and exhibits have improved. Ability to see the sharks, stingrays, sea horses adn Dugong at one place	Fun
Cockle Bay Wharf	Has it all	Many shops and restaurants in this area, part of the Darling Harbour experience it has almost everything you could possible need. There is a Ferry service to Circular Quay, close to the light rail and buses. Easy walking to the Fish Markets, Star City and Central CBD. Plenty of ambience nice to sit with a coffee or drink and watch the world go by.	Lazy
Cockle Bay Wharf	So many restaurants and bars to choose from	So many restaurant and bars to choose from. Not to mention, there's a movie theater and a shopping area along the boardwalk, and The Star casino is walking distance. It's a great place to meet up with friends, take someone out on a date, or even take an out-of-towner.	Social
Cockle Bay Wharf	Just delightful	Take a breath from the busy schedule and take a trip here and enjoy the scenery. The restaurants and bars are great and also take part in the 'happy hour' so no worries.	Social
Cockle Bay Wharf	If it's food, music, fun you want, this is the place	Ablaze with lights, sound and activity. This place is busy and noisy on Friday & Saturday nights. There are many restaurants and bars to choose from. This is where the young & the young at heart hang out. There's music, food and a great view of the lights on the water. A truly beautiful place at night filled with beautiful people.	Social
Cockle Bay Wharf	Great location	Brillant, great location, Lots of resturants, Bars, More bars, Food, walking, more bars	Social
Australian Museum	Good introduction to the country	This museum offers a good insight into the natural world of Australia. We spent 2 or 3 hours wondering and reading. There is a room devoted to Aborignal history, a room of minerals, one of birds, mammals, insects. ?..etc. Good way to start a tour of the country.	Historical
Australian Museum	Great natural history museum	If you like Natural History Museums the Australia Museum is is unmissable, comparable to the best of the genre such as London Natural History Museum with the addition of exotic Australian wildlife and a great section on aboriginal culture. We took advantage of a rainy day in Sydney to visit this museum and the Art Gallery of NSW who are only separated by a few blocks and finished the afternoon with a visit to the The Rocks area with its Sunday market and several pubs for good beer and music live.	Historical
Australian Museum	best museum i've been to	I was honestly impressed. The first thing you see is the massive whale skeleton hanging from the ceiling, and the exhibitions on at the time that I was interested in were on skeletons, indiginous Australians, 'surviving Australia' which was about all the native animals, and dinosaurs. The exhibitons were arranged in an interesting way - the facts weren't just presented, but arranged so it drew your attention.	Education
Australian Museum	Great intro to the beginnings of the country	The artifacts and exhibits were interactive and multi faceted. The wildlife and sea creatures that were displayed were awesome to see as a US visitor. The Aboriginal history, customs and folk stories were interesting and educational. I thoroughly enjoyed my day there.	Historical
Australian Museum	So much to see	Give yourself plenty of time to get around, there is so much to see. An interactive program which my grand daughter thoroughly enjoyed and we can't wait to go again soon.	Education
University of Sydney	My favourite place in the world	As a student studying medicine here, you can imagine I spend a great deal of my time here. I love every second of it. As Australia's first university, it has long developed a history of prestige, traditions and culture and it has been consistently ranked in over the top 0.3% of universities in the world. It is the oldest and one of the most prestigious universities in Australia. With the motto, "Sidere mens eadem mutato" literally translated as, "Though the stars change, the mind is eternal", or perhaps more liberally, "Sydney University is really Oxford or Cambridge displaced laterally approximately 12,000 miles". Even its Coat of Arms, granted by Queen Victoria, is a hybrid of those of Oxford and Cambridge, very concretely and ever visibly representing her hopes for what would become Australia's, and indeed, among the worlds most prestigious educational institutions . While it still has much of the traditions inherited from the great British universities, the enduring desire of its founders, the university has also gained its own identity, a uniquely Antipodean character, and together it has grown along with the young country of Australia. The campus is absolutely beautiful, reminiscent and modelled after Oxford and Cambridge and has been ranked in the top 10 of the "Most Beautiful Universities in the World" by the British Telegraph, Huffington Post and even Disney Pixar! The campus is so big, that it even has its own postcode, sprawling across two Sydney suburbs. Explore the largest and most prestigious collection of antiquities in Australia at the Nicholson Museum, or examine the many Art Galleries, collections of natural history or Anatomical museums (some of which may only be open to medical students), all with free admission. Have a picnic in Victoria Park, within the grounds, maybe even take a swim in the Olympic-sized pool, or play a game of tennis, basketball, etc. at the many sports centres, gyms and stadiums on campus.	Education
University of Sydney	Fantastic museums	The MACLEAY MUSEUM in USYD is a great place for kids to go. A lot of collections and also treasure hunting programs for kids. Very educational for kids.	Education
University of Sydney	I love this university	i walked pass this university everyday during my short stay in Sydney. Really love the buildings ! especially when jacaranda was in full bloom, the scenery was splendid.	Cultural
University of Sydney	A special university	It looks and feels like your traditional university down to the ivy growing up the walls. It has all the tradition you expect of our first university and the feel is so different than the newer universities that have proliferated in recent years.	Cultural
University of Sydney	Great place to walk around	I don't go to this Uni but to one that was far less prestigious. With its harry potter like buildings - well sort of, this seems like a nice place to be educated. I visited the Nicholas museum which was pretty cool for a Uni to have.	Education
Wild Life Sydney Zoo	Not to be missed	This is a fantastic place to see all of Australia's indigenous animals in an intimate and friendly atmosphere. Yes its smaller than Taronga Zoo but its less crowded and easier to see the animals in large enclosures and take great photos. They have zoo staff walking around with animals which you can pat and have photos with for free, we saw such reptiles, snakes, a quokka and a possum. This was a great opportunity to find out more info on these great creatures and capture amazing photos. The out back show was also excellent, getting close to birds, reptiles and a baby wombat and we even fed lorikeets. The roof garden is a koala heaven and you can pay to have your photo taken stood next to them but even without paying you can get some great photos. I cannot recommend this place highly enough, especially when bought as part of a combo ticket with other attractions such as the aquarium.	Fun
Wild Life Sydney Zoo	Want to see Australian indigenous animals in sydney?	This place competes with Taronga Zoo only because it is a lot less effort to get here for most visitors to Sydney and therefore takes less time. This is a relatively small zoo. However, that said, I loved the place! All the main Australian animals can be seen here from koalas and kangaroos to echidnas and emus. Many of the animals are fairly easy to photograph, especially some like the reptiles and amphibians. I bought my admission here as part of the combo ticket with the aquarium and thought it a good time.	Fun
Wild Life Sydney Zoo	A zoo with a view	Every visitor to Sydney should take the time to enjoy the beautiful Sydney zoo. We arrived by a short and scenic ferry ride , this zoo is very spacious , clean and has amazing views from the top . Educational and fun shows throughout the grounds . The animals are not kept in cages but rather have areas mimicking there natural habitat so they can roam free.	Fun
Wild Life Sydney Zoo	World of wildlife	Wildlife Sydney Zoo was a great way to see a number of Australian animals in one convenient location. Good views of kangaroos, koalas and cassowary. Staff were friendly. I liked the nocturnal area as this is a group of animals that it is hard to see in their own habitat.	Fun
Wild Life Sydney Zoo	Fun	Great fun for the whole family. Kids enjoyed holding the python for a photo. The only bad thing I can say is the photo counter is terrible understaffed and no idea the staff I actually watched them tell the customer it was an extra $5 and then gave them the photo and moved on to the next customer so those guys got it for free.	Fun
Museum of Contemporary Art	Culture on the rocks	Take an hour out of your Circular Quay sightseeing and pop into the MCA. And why not? It's free and if you visit the 4th floor cafe, you'll be rewarded with great views of the Opera House and the Harbour Bridge. Yeah, the cafe's food is a bit pricey and the art may not be to everyone's taste, but it's a great way to spend a quiet hour in an area heaving with tourists. And I enjoyed the art.	Cultural
Museum of Contemporary Art	Always a wonderful experience	The Museum of Contemporary Art is one of my favourite cultural spaces in Sydney. I try to get there every time I'm in Sydney, and no matter what exhibition is showing, it's always well curated and exhibited, thought-provoking and satisfying. The gallery staff are helpful, friendly and engaging, happy to spend the time discussing and explaining the art. The shop is fantastic - I've spent way too much money there in the past - but it has a great range. I've only checked out the cafe once, and it seemed quite disappointing, but I'll give it another go next time I'm there. Always a great experience.	Cultural
Museum of Contemporary Art	Irritating, beautifully disillusioning 	At first this place may look different than the museum you'd expect, but then it will hit you. A lot of disenchanting pieces that challenge your mind. Aboriginal paintings that start to move when you look at them for a while. A humongous eye watching you so hauntingly you might forget where you are. This is a museum with modern art that is more than a just about provocation or breaking taboos. It is a pretty entertaining and educating place!	Cultural
Museum of Contemporary Art	Pop in for a quick look or meander at your leisure	This fantastic contemporary museum of art features many modern exhibitions from their own collection to eminent guest exhibitions which are always thrilling,challenging and fun. Entry is free except for guest exhibitions. A great space to visit for a short while or a long while, what ever you're in the mood for. Check your bags into concierge & enjoy your contemporary adventure! Suitable for Couples,Solo, Families of all ages & hanging out with friends. Perfectly situated in Circular Quay, you can enjoy the breathtaking views of all Sydney's main attractions - the Sydney Harbour Bridge, Sydney Opera House, Circular Quay (where all ferries depart) and across the Harbour to Luna Park & Kirribilly. The MCA cafe is great for refreshments, a quick bite & views, just a short stroll away from The Rocks area- steeped in history where Captain Cook first established Sydney. Check out the MCA's glass elevator. Take a stroll over to see the Opera House about 15min walk. MCA... a great destination what ever the weather!	Cultural
Museum of Contemporary Art	Fun place to browse	This is a very nice museum right next to the Circular Quay. During my visit there was a huge exhibition on stainless steel pieces. Really beautiful and unique.	Cultural
Blues Point Reserve	Came across by accident	And was absolutely wowed away! Felt surreal with a view you felt you could reach out and touch, a glorious sunny day, views galore, didnt know where to look first, as so much to sit and absorb.	Natural
Blues Point Reserve	Great spot to see Sydney	One of the top spots in Sydney to park your car and enjoy the view of Sydney. A small unremarkable park with million dollar views. Park your car and take photos or sit back and enjoy Sydney Harbour. Great photo opportunity for the Sydney Harbour Bridge and the Opera House. You can also walk around to Luna Park and the harbour foreshores.	Natural
Blues Point Reserve	Great views	Stunning view of the Opera House and the harbour bridge. Grab a pizza from the Blues Point Pizza and eat it on the grass with one of the best views of Sydney.	Lazy
Blues Point Reserve	A great view	This little known reserve, at the bottom Blues Point road, offers a different but great view across Sydney Harbour towards the Sydney Harbour Bridge and the Opera House on the distant side. A nice reserve to sit back, relax and watch the water craft on the harbour. There is also a small toilet block in the reserve.	Natural
Blues Point Reserve	Watch Sydney go by	Just a nice place to sit and watch - used to go there for lunch all the time when worked in area - many years ago	Lazy
Glebe	My hometown secret	Its always been a gem of a place,with many restaurants,pubs and beautiful walks along the harbourside. There is a little beach along the foreshore where you can take your dog for a swim. The locals are friendly and the eateries are dog friendly too. Good to see that they have progressed with pet friendly venues and finally got into the new millennium down here.Take cash cause a lot of places don't do cards.	Cultural
Glebe	Glebe	Glebe is a funky urban village in the inner west of Sydney. Close to the Sydney CBD, it boasts lots of cool bars, cafes and restaurants and is a great place to hang out on a weekend or a weeknight. On the weekends the Glebe Markets attract people from far and wide to score a bargain or pick up a dstinctive piece of arts and crafts.	Social
